index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,gain,saturated,monotonic
121,14235,0,14235.0,7440,0,7440.0,0.5226554267650158,0,1
122,14353,0,14353.0,7531,0,7531.0,0.5246986692677489,0,1
123,14471,0,14471.0,7623,0,7623.0,0.5267776933176698,0,1
124,14588,0,14588.0,7714,0,7714.0,0.5287907869481766,0,1
125,14706,0,14706.0,7808,0,7808.0,0.5309397524819801,0,1
126,14824,0,14824.0,7902,0,7902.0,0.5330545062061521,0,1
127,14941,0,14941.0,7995,0,7995.0,0.5351047453316378,0,1
128,15059,0,15059.0,8091,0,8091.0,0.5372866724218076,0,1
129,15176,0,15176.0,8186,0,8186.0,0.5394043226146548,0,1
130,15294,0,15294.0,8283,0,8283.0,0.5415849352687329,0,1
131,15412,0,15412.0,8381,0,8381.0,0.5437970412665456,0,1
132,15529,0,15529.0,8478,0,8478.0,0.5459462940305235,0,1
133,15647,0,15647.0,8578,0,8578.0,0.5482201060906244,0,1
134,15765,0,15765.0,8678,0,8678.0,0.5504598794798604,0,1
135,15882,0,15882.0,8778,0,8778.0,0.5527011711371363,0,1
136,16000,0,16000.0,8879,0,8879.0,0.5549375,0,1
137,16118,0,16118.0,8982,0,8982.0,0.5572651693758531,0,1
138,16235,0,16235.0,9084,0,9084.0,0.5595318755774561,0,1
139,16353,0,16353.0,9188,0,9188.0,0.5618540940500214,0,1
140,16471,0,16471.0,9293,0,9293.0,0.5642037520490559,0,1
141,16588,0,16588.0,9398,0,9398.0,0.5665541355196527,0,1
142,16706,0,16706.0,9505,0,9505.0,0.5689572608643602,0,1
143,16824,0,16824.0,9612,0,9612.0,0.5713266761768901,0,1
144,16941,0,16941.0,9720,0,9720.0,0.5737559766247565,0,1
145,17059,0,17059.0,9829,0,9829.0,0.5761767981710534,0,1
146,17176,0,17176.0,9938,0,9938.0,0.5785980437820214,0,1
147,17294,0,17294.0,10049,0,10049.0,0.5810685786978143,0,1
148,17412,0,17412.0,10160,0,10160.0,0.5835056283023202,0,1
149,17529,0,17529.0,10272,0,10272.0,0.5860003422899196,0,1
150,17647,0,17647.0,10385,0,10385.0,0.5884852949509831,0,1
151,17765,0,17765.0,10500,0,10500.0,0.591049817056009,0,1
152,17882,0,17882.0,10614,0,10614.0,0.5935577675875182,0,1
153,18000,0,18000.0,10730,0,10730.0,0.5961111111111111,0,1
154,18118,0,18118.0,10847,0,10847.0,0.5986863892261839,0,1
155,18235,0,18235.0,10964,0,10964.0,0.6012613106663011,0,1
156,18353,0,18353.0,11083,0,11083.0,0.6038794747452733,0,1
157,18471,0,18471.0,11203,0,11203.0,0.6065183260245791,0,1
158,18588,0,18588.0,11323,0,11323.0,0.6091564450182914,0,1
159,18706,0,18706.0,11445,0,11445.0,0.6118357746177697,0,1
160,18824,0,18824.0,11567,0,11567.0,0.6144815129621759,0,1
161,18941,0,18941.0,11690,0,11690.0,0.6171796631645636,0,1
162,19059,0,19059.0,11814,0,11814.0,0.6198646308830473,0,1
163,19176,0,19176.0,11939,0,11939.0,0.6226011681268252,0,1
164,19294,0,19294.0,12065,0,12065.0,0.6253239349020421,0,1
165,19412,0,19412.0,12193,0,12193.0,0.6281166288893468,0,1
166,19529,0,19529.0,12320,0,12320.0,0.6308566746889241,0,1
167,19647,0,19647.0,12450,0,12450.0,0.6336845319896167,0,1
168,19765,0,19765.0,12580,0,12580.0,0.6364786238300025,0,1
169,19882,0,19882.0,12710,0,12710.0,0.6392717030479831,0,1
