index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,gain,saturated,monotonic,readback_stable
108,12706,0,12706.0,5149,0,5149.0,0.40524161813316545,0,1,1
109,12824,0,12824.0,5222,0,5222.0,0.40720524017467247,0,1,1
110,12941,0,12941.0,5295,0,5295.0,0.409164670427324,0,1,1
111,13059,0,13059.0,5369,0,5369.0,0.4111340837736427,0,1,1
112,13176,0,13176.0,5444,0,5444.0,0.41317547055251974,0,1,1
113,13294,0,13294.0,5520,0,5520.0,0.41522491349480967,0,1,1
114,13412,0,13412.0,5596,0,5596.0,0.4172382940650164,0,1,1
115,13529,0,13529.0,5673,0,5673.0,0.4193214576095794,0,1,1
116,13647,0,13647.0,5751,0,5751.0,0.42141129918663445,0,1,1
117,13765,0,13765.0,5830,0,5830.0,0.4235379585906284,0,1,1
118,13882,0,13882.0,5908,0,5908.0,0.4255870911972338,0,1,1
119,14000,0,14000.0,5989,0,5989.0,0.42778571428571427,0,1,1
120,14118,0,14118.0,6070,0,6070.0,0.42994758464371724,0,1,1
121,14235,0,14235.0,6151,0,6151.0,0.43210396909027043,0,1,1
122,14353,0,14353.0,6233,0,6233.0,0.4342646136696161,0,1,1
123,14471,0,14471.0,6317,0,6317.0,0.4365282288715362,0,1,1
124,14588,0,14588.0,6400,0,6400.0,0.4387167534960241,0,1,1
125,14706,0,14706.0,6485,0,6485.0,0.4409764721882225,0,1,1
126,14824,0,14824.0,6571,0,6571.0,0.4432676740420939,0,1,1
127,14941,0,14941.0,6657,0,6657.0,0.44555250652566764,0,1,1
128,15059,0,15059.0,6744,0,6744.0,0.447838501892556,0,1,1
129,15176,0,15176.0,6831,0,6831.0,0.4501186083289404,0,1,1
130,15294,0,15294.0,6920,0,6920.0,0.45246501896168434,0,1,1
131,15412,0,15412.0,7010,0,7010.0,0.45484038411627303,0,1,1
132,15529,0,15529.0,7100,0,7100.0,0.4572090926653358,0,1,1
133,15647,0,15647.0,7191,0,7191.0,0.4595769157026906,0,1,1
134,15765,0,15765.0,7284,0,7284.0,0.4620361560418649,0,1,1
135,15882,0,15882.0,7376,0,7376.0,0.46442513537337865,0,1,1
136,16000,0,16000.0,7470,0,7470.0,0.466875,0,1,1
137,16118,0,16118.0,7565,0,7565.0,0.4693510361086983,0,1,1
138,16235,0,16235.0,7660,0,7660.0,0.47182014166923314,0,1,1
139,16353,0,16353.0,7757,0,7757.0,0.4743472145783648,0,1,1
140,16471,0,16471.0,7854,0,7854.0,0.4768380790480238,0,1,1
141,16588,0,16588.0,7952,0,7952.0,0.479382686279238,0,1,1
142,16706,0,16706.0,8051,0,8051.0,0.48192266251646115,0,1,1
143,16824,0,16824.0,8152,0,8152.0,0.4845458868283405,0,1,1
144,16941,0,16941.0,8252,0,8252.0,0.48710229620447437,0,1,1
145,17059,0,17059.0,8354,0,8354.0,0.48971217539128903,0,1,1
146,17176,0,17176.0,8456,0,8456.0,0.49231485794131347,0,1,1
147,17294,0,17294.0,8560,0,8560.0,0.49496935353301724,0,1,1
148,17412,0,17412.0,8665,0,8665.0,0.4976453020905123,0,1,1
149,17529,0,17529.0,8770,0,8770.0,0.5003137657595984,0,1,1
150,17647,0,17647.0,8877,0,8877.0,0.5030316767722559,0,1,1
151,17765,0,17765.0,8984,0,8984.0,0.5057134815648747,0,1,1
152,17882,0,17882.0,9092,0,9092.0,0.5084442456101107,0,1,1
153,18000,0,18000.0,9202,0,9202.0,0.5112222222222222,0,1,1
154,18118,0,18118.0,9313,0,9313.0,0.5140192074180373,0,1,1
155,18235,0,18235.0,9423,0,9423.0,0.5167534960241295,0,1,1
156,18353,0,18353.0,9536,0,9536.0,0.519588078243339,0,1,1
157,18471,0,18471.0,9650,0,9650.0,0.5224405825347842,0,1,1
158,18588,0,18588.0,9763,0,9763.0,0.5252313320421778,0,1,1
159,18706,0,18706.0,9879,0,9879.0,0.5281193200042767,0,1,1
160,18824,0,18824.0,9995,0,9995.0,0.530971100722482,0,1,1
161,18941,0,18941.0,10112,0,10112.0,0.5338683279657885,0,1,1
162,19059,0,19059.0,10231,0,10231.0,0.5368067579621176,0,1,1
163,19176,0,19176.0,10350,0,10350.0,0.5397371714643304,0,1,1
164,19294,0,19294.0,10470,0,10470.0,0.5426557479009019,0,1,1
165,19412,0,19412.0,10592,0,10592.0,0.5456418710076242,0,1,1
166,19529,0,19529.0,10714,0,10714.0,0.548620001024118,0,1,1
167,19647,0,19647.0,10838,0,10838.0,0.5516363821448568,0,1,1
168,19765,0,19765.0,10963,0,10963.0,0.5546673412598027,0,1,1
169,19882,0,19882.0,11088,0,11088.0,0.5576903732018912,0,1,1
170,20000,0,20000.0,11215,0,11215.0,0.56075,0,1,1
171,20118,0,20118.0,11344,0,11344.0,0.5638731484242967,0,1,1
172,20235,0,20235.0,11472,0,11472.0,0.5669384729429207,0,1,1
173,20353,0,20353.0,11602,0,11602.0,0.5700388149167199,0,1,1
174,20471,0,20471.0,11734,0,11734.0,0.5732011137707,0,1,1
175,20588,0,20588.0,11865,0,11865.0,0.576306586360987,0,1,1
176,20706,0,20706.0,11999,0,11999.0,0.5794938665121221,0,1,1
177,20824,0,20824.0,12134,0,12134.0,0.5826930464848252,0,1,1
178,20941,0,20941.0,12269,0,12269.0,0.5858841507091352,0,1,1
179,21059,0,21059.0,12406,0,12406.0,0.5891067951944536,0,1,1
180,21176,0,21176.0,12543,0,12543.0,0.5923214960332451,0,1,1
181,21294,0,21294.0,12683,0,12683.0,0.5956137879214802,0,1,1
182,21412,0,21412.0,12823,0,12823.0,0.5988697926396414,0,1,1
183,21529,0,21529.0,12964,0,12964.0,0.6021645222722839,0,1,1
184,21647,0,21647.0,13107,0,13107.0,0.605488058391463,0,1,1
185,21765,0,21765.0,13251,0,13251.0,0.6088215024121295,0,1,1
186,21882,0,21882.0,13395,0,13395.0,0.6121469701124211,0,1,1
187,22000,0,22000.0,13542,0,13542.0,0.6155454545454545,0,1,1
188,22118,0,22118.0,13689,0,13689.0,0.6189076770051541,0,1,1
189,22235,0,22235.0,13837,0,13837.0,0.6223071733753092,0,1,1
190,22353,0,22353.0,13987,0,13987.0,0.6257325638616741,0,1,1
191,22471,0,22471.0,14138,0,14138.0,0.6291664812424903,0,1,1
192,22588,0,22588.0,14290,0,14290.0,0.6326367982999823,0,1,1
193,22706,0,22706.0,14443,0,14443.0,0.6360873777856073,0,1,1
194,22824,0,22824.0,14598,0,14598.0,0.639589905362776,0,1,1
195,22941,0,22941.0,14753,0,14753.0,0.6430844339828256,0,1,1
196,23059,0,23059.0,14911,0,14911.0,0.6466455613860098,0,1,1
197,23176,0,23176.0,15068,0,15068.0,0.6501553331032102,0,1,1
198,23294,0,23294.0,15228,0,15228.0,0.6537305743968403,0,1,1
199,23412,0,23412.0,15389,0,15389.0,0.6573124893217154,0,1,1
200,23529,0,23529.0,15551,0,15551.0,0.6609290662586595,0,1,1
201,23647,0,23647.0,15714,0,15714.0,0.6645240411045799,0,1,1
202,23765,0,23765.0,15879,0,15879.0,0.6681674731748369,0,1,1
203,23882,0,23882.0,16044,0,16044.0,0.6718030315718951,0,1,1
204,24000,0,24000.0,16276,0,16276.0,0.6781666666666667,0,1,1
205,24118,0,24118.0,16381,0,16381.0,0.6792022555767476,0,1,1
206,24235,0,24235.0,16550,0,16550.0,0.6828966370951104,0,1,1
207,24353,0,24353.0,16722,0,16722.0,0.6866505153369195,0,1,1
208,24471,0,24471.0,16894,0,16894.0,0.6903681909198643,0,1,1
209,24588,0,24588.0,17067,0,17067.0,0.6941190824792581,0,1,1
210,24706,0,24706.0,17243,0,17243.0,0.6979276289160528,0,1,1
211,24824,0,24824.0,17420,0,17420.0,0.7017402513696422,0,1,1
212,24941,0,24941.0,17597,0,17597.0,0.7055450864039132,0,1,1
213,25059,0,25059.0,17776,0,17776.0,0.709365896484297,0,1,1
214,25176,0,25176.0,17956,0,17956.0,0.7132189386717509,0,1,1
215,25294,0,25294.0,18138,0,18138.0,0.7170870562188661,0,1,1
216,25412,0,25412.0,18322,0,18322.0,0.7209979537226507,0,1,1
217,25529,0,25529.0,18505,0,18505.0,0.7248619217360649,0,1,1
218,25647,0,25647.0,18692,0,18692.0,0.7288181853628105,0,1,1
219,25765,0,25765.0,18880,0,18880.0,0.7327770230933437,0,1,1
220,25882,0,25882.0,19067,0,19067.0,0.7366895912216985,0,1,1
221,26000,0,26000.0,19258,0,19258.0,0.7406923076923076,0,1,1
222,26118,0,26118.0,19450,0,19450.0,0.7446971437322919,0,1,1
223,26235,0,26235.0,19642,0,19642.0,0.7486944920907185,0,1,1
224,26353,0,26353.0,19837,0,19837.0,0.7527416233445907,0,1,1
225,26471,0,26471.0,20033,0,20033.0,0.7567904499263345,0,1,1
226,26588,0,26588.0,20230,0,20230.0,0.7608695652173914,0,1,1
227,26706,0,26706.0,20429,0,20429.0,0.7649591852018273,0,1,1
228,26824,0,26824.0,20630,0,20630.0,0.7690873844318521,0,1,1
229,26941,0,26941.0,20830,0,20830.0,0.7731710033035151,0,1,1
230,27059,0,27059.0,21034,0,21034.0,0.7773384086625522,0,1,1
231,27176,0,27176.0,21237,0,21237.0,0.781461583750368,0,1,1
232,27294,0,27294.0,21444,0,21444.0,0.7856671795999121,0,1,1
233,27412,0,27412.0,21652,0,21652.0,0.7898730483000146,0,1,1
234,27529,0,27529.0,21860,0,21860.0,0.7940717062007338,0,1,1
235,27647,0,27647.0,22071,0,22071.0,0.7983144644988607,0,1,1
236,27765,0,27765.0,22283,0,22283.0,0.8025571763010985,0,1,1
237,27882,0,27882.0,22495,0,22495.0,0.8067929129904597,0,1,1
238,28000,0,28000.0,22711,0,22711.0,0.8111071428571428,0,1,1
239,28118,0,28118.0,22928,0,22928.0,0.8154207269364819,0,1,1
240,28235,0,28235.0,23145,0,23145.0,0.8197272888259253,0,1,1
241,28353,0,28353.0,23365,0,23365.0,0.8240750537861955,0,1,1
242,28471,0,28471.0,23587,0,23587.0,0.8284570264479646,0,1,1
243,28588,0,28588.0,23808,0,23808.0,0.8327969777529033,0,1,1
244,28706,0,28706.0,24033,0,24033.0,0.8372117327388002,0,1,1
245,28824,0,28824.0,24259,0,24259.0,0.8416250346933112,0,1,1
