profile,profile_label,coef1_re,coef1_im,coef3_re,coef3_im,index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,phase_shift_deg
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,33,3984,0,3984.0,1594,12,1594.0451687452273,0.43132770753766314
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,34,4102,0,4102.0,1641,13,1641.0514921842032,0.4538876005954146
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,35,4219,0,4219.0,1688,14,1688.0580558736717,0.4751910672092369
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,36,4336,0,4336.0,1734,15,1734.064877679033,0.4956258685230432
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,37,4453,0,4453.0,1781,16,1781.071868286061,0.5147152224079683
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,38,4570,0,4570.0,1828,18,1828.0886192961216,0.5641634030526385
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,39,4688,0,4688.0,1875,19,1875.0962641955211,0.580577360855434
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,40,4805,0,4805.0,1922,21,1922.114720821835,0.6259955740819445
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,41,4922,0,4922.0,1969,22,1969.1229011923049,0.6401496695235357
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,42,5039,0,5039.0,2016,24,2016.1428520816673,0.682060393172652
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,43,5156,0,5156.0,2062,26,2062.163912010876,0.7224109245058635
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,44,5273,0,5273.0,2109,27,2109.1728236443782,0.7334763105980728
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,45,5391,0,5391.0,2156,29,2156.1950282847793,0.7706295963833789
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,46,5508,0,5508.0,2203,31,2203.2181008697257,0.8061969785675126
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,47,5625,0,5625.0,2250,33,2250.2419869871774,0.8402778519468711
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,48,5742,0,5742.0,2297,35,2297.2666366793387,0.8729634773631111
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,49,5859,0,5859.0,2344,37,2344.292003996089,0.9043377968777061
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,50,5977,0,5977.0,2391,40,2391.3345646312227,0.9584347173909455
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,51,6094,0,6094.0,2438,42,2438.3617451067425,0.9869502561290814
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,52,6211,0,6211.0,2484,45,2484.407575258134,1.0378534933013635
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,53,6328,0,6328.0,2531,47,2531.436351165085,1.0638451858957776
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,54,6445,0,6445.0,2578,50,2578.4848264048405,1.1111054495984238
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,55,6562,0,6562.0,2625,53,2625.534993101406,1.1566719146662578
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,56,6680,0,6680.0,2672,56,2672.586761921865,1.2006339815250386
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,57,6797,0,6797.0,2719,58,2719.6185394279105,1.2220122497513697
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,58,6914,0,6914.0,2766,62,2766.69477897364,1.2840721513265014
