profile,profile_label,coef1_re,coef1_im,coef3_re,coef3_im,index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,phase_shift_deg
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,77,9141,0,9141.0,3656,71,3656.6893496713665,1.112551711489088
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,78,9258,0,9258.0,3703,74,3703.7393266805375,1.1448348410552691
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,79,9375,0,9375.0,3750,77,3750.7904500251675,1.1763080404573947
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,80,9492,0,9492.0,3797,80,3797.8426770997244,1.2070013934964992
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,81,9609,0,9609.0,3844,83,3844.895967383253,1.236943513171179
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,82,9727,0,9727.0,3891,86,3891.950282313483,1.2661616304253511
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,83,9844,0,9844.0,3938,89,3939.005585169942,1.294681676550234
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,84,9961,0,9961.0,3984,92,3985.062107420661,1.3228602017489415
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,85,10078,0,10078.0,4031,95,4032.11929387016,1.3500599488584486
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,86,10195,0,10195.0,4078,99,4079.2015150026605,1.390673918346018
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,87,10312,0,10312.0,4125,102,4126.26089819827,1.4164797166824679
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,88,10430,0,10430.0,4172,106,4173.3463791063405,1.4554281568541425
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,89,10547,0,10547.0,4219,109,4220.407800201303,1.4799362438199803
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,90,10664,0,10664.0,4266,113,4267.49633860417,1.517325241705258
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,91,10781,0,10781.0,4312,117,4313.587022421131,1.554258301179141
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,92,10898,0,10898.0,4359,121,4360.679075556925,1.5900457610954544
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,93,11016,0,11016.0,4406,125,4407.77279359996,1.6250685105575369
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,94,11133,0,11133.0,4453,129,4454.868123749568,1.659350775735191
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,95,11250,0,11250.0,4500,133,4501.965015412714,1.692915771212138
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,96,11367,0,11367.0,4547,137,4549.063420089898,1.725785752187381
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,97,11484,0,11484.0,4594,141,4596.163291268055,1.7579820634802474
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,98,11602,0,11602.0,4641,145,4643.264584319959,1.7895251855649161
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,99,11719,0,11719.0,4688,150,4690.399130138074,1.8326441572222745
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,100,11836,0,11836.0,4734,154,4736.504196134529,1.863210717460054
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,101,11953,0,11953.0,4781,159,4783.6431723112455,1.9047631443084478
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,102,12070,0,12070.0,4828,164,4830.784615360118,1.9455046095425526
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,103,12188,0,12188.0,4875,169,4877.928453759854,1.9854585845169266
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,104,12305,0,12305.0,4922,174,4925.074618724066,2.024647644983484
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,105,12422,0,12422.0,4969,179,4972.223044071937,2.06309351333484
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,106,12539,0,12539.0,5016,184,5019.37366610616,2.100817098482881
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,107,12656,0,12656.0,5062,189,5065.52711965892,2.138260472341255
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,108,12773,0,12773.0,5109,194,5112.681977201399,2.1746023610925187
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,109,12891,0,12891.0,5156,200,5159.877517926177,2.221375826885549
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,110,13008,0,13008.0,5203,205,5207.036969332943,2.2563064636698873
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,111,13125,0,13125.0,5250,211,5254.238384390263,2.301506007757916
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,112,13242,0,13242.0,5297,216,5301.402173010458,2.33510204815454
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,113,13359,0,13359.0,5344,222,5348.609165007292,2.378808703971293
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,114,13477,0,13477.0,5391,228,5395.819214910744,2.421750572502045
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,115,13594,0,13594.0,5438,234,5443.032243152708,2.4639475062305745
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,116,13711,0,13711.0,5484,240,5489.2491289793,2.5058749554137925
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,117,13828,0,13828.0,5531,246,5536.4679173639215,2.5466423514633716
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,118,13945,0,13945.0,5578,253,5583.734682092264,2.5969709611952947
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,119,14062,0,14062.0,5625,259,5630.959598505391,2.6362903304689507
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,120,14180,0,14180.0,5672,266,5678.233880353996,2.685035078865671
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,121,14297,0,14297.0,5719,272,5725.464609968348,2.7229790413916275
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,122,14414,0,14414.0,5766,279,5772.74605365592,2.7702157972001924
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,123,14531,0,14531.0,5812,286,5819.032565641818,2.8171688786876614
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,124,14648,0,14648.0,5859,293,5866.321675462402,2.862892961842611
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,125,14766,0,14766.0,5906,300,5913.614461562403,2.9078857373686477
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,126,14883,0,14883.0,5953,307,5960.910836441021,2.95216455661217
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,127,15000,0,15000.0,6000,314,6008.210715346126,2.995746227996683
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,128,15117,0,15117.0,6047,322,6055.567108041988,3.0480954053289104
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,129,15234,0,15234.0,6094,329,6102.874486666099,3.090257528743076
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,130,15352,0,15352.0,6141,337,6150.239832721973,3.141073115958358
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,131,15469,0,15469.0,6188,345,6197.609942550434,3.19111194582703
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,132,15586,0,15586.0,6234,353,6243.986306839566,3.2409103040865745
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,133,15703,0,15703.0,6281,361,6291.365670504299,3.289451691060911
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,134,15820,0,15820.0,6328,369,6338.7494823506,3.337267392777895
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,135,15938,0,15938.0,6375,377,6386.137643364727,3.3843734966648267
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,136,16055,0,16055.0,6422,385,6433.530057441249,3.4307856200215268
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,137,16172,0,16172.0,6469,394,6480.987347619188,3.485343252242161
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,138,16289,0,16289.0,6516,403,6528.450428700519,3.5391076438166174
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,139,16406,0,16406.0,6562,411,6574.858553611629,3.583944603439293
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,140,16523,0,16523.0,6609,420,6622.331991073839,3.636240079459079
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,141,16641,0,16641.0,6656,429,6669.810866883708,3.6877910699349057
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,142,16758,0,16758.0,6703,438,6717.295065724,3.738613278691
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,143,16875,0,16875.0,6750,448,6764.850626584448,3.7971730925104388
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,144,16992,0,16992.0,6797,457,6812.345998259337,3.8465237158322467
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,145,17109,0,17109.0,6843,466,6858.848664316774,3.8957583974628323
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,146,17227,0,17227.0,6891,476,6907.420430232983,3.951463936426061
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,147,17344,0,17344.0,6937,486,6954.00352315125,4.007542787528544
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,148,17461,0,17461.0,6984,496,7001.590676410611,4.062295477325536
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,149,17578,0,17578.0,7031,506,7049.184137189211,4.116308876434692
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,150,17695,0,17695.0,7078,516,7096.783778585903,4.169597763613756
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,151,17812,0,17812.0,7125,526,7144.389477065202,4.222176528806113
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,152,17930,0,17930.0,7172,537,7192.07570872276,4.2820035458040735
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,153,18047,0,18047.0,7219,547,7239.694054309201,4.333150960783082
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,154,18164,0,18164.0,7265,558,7286.397532388691,4.39207131636699
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,155,18281,0,18281.0,7312,569,7334.105603275699,4.449634923371393
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,156,18398,0,18398.0,7359,580,7381.820981302649,4.506454415916958
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,157,18516,0,18516.0,7406,591,7429.543525681776,4.562544020274169
