profile,profile_label,coef1_re,coef1_im,coef3_re,coef3_im,index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,phase_shift_deg
A,Linear,0x3333,0x0000,0x0000,0x0000,96,11367,0,11367.0,4547,0,4547.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,97,11484,0,11484.0,4594,0,4594.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,98,11602,0,11602.0,4641,0,4641.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,99,11719,0,11719.0,4688,0,4688.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,100,11836,0,11836.0,4734,0,4734.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,101,11953,0,11953.0,4781,0,4781.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,102,12070,0,12070.0,4828,0,4828.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,103,12188,0,12188.0,4875,0,4875.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,104,12305,0,12305.0,4922,0,4922.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,105,12422,0,12422.0,4969,0,4969.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,106,12539,0,12539.0,5016,0,5016.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,107,12656,0,12656.0,5062,0,5062.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,108,12773,0,12773.0,5109,0,5109.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,109,12891,0,12891.0,5156,0,5156.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,110,13008,0,13008.0,5203,0,5203.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,111,13125,0,13125.0,5250,0,5250.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,112,13242,0,13242.0,5297,0,5297.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,113,13359,0,13359.0,5344,0,5344.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,114,13477,0,13477.0,5391,0,5391.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,115,13594,0,13594.0,5438,0,5438.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,116,13711,0,13711.0,5484,0,5484.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,117,13828,0,13828.0,5531,0,5531.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,118,13945,0,13945.0,5578,0,5578.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,119,14062,0,14062.0,5625,0,5625.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,120,14180,0,14180.0,5672,0,5672.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,121,14297,0,14297.0,5719,0,5719.0,0.0
