index,requested_amplitude,requested_phase_deg,input_i,input_q,input_magnitude,input_phase_deg,output_i,output_q,output_magnitude,output_phase_deg,phase_shift_deg,gain
17,2625,45,1856,1856,2624.7803717644642,45.0,371,1114,1174.1537378043813,71.5804823050413,26.5804823050413,0.44733408952425086
18,2625,90,0,2625,2625.0,90.0,-526,1050,1174.383242387254,116.608688472154,26.608688472154,0.4473840923380016
19,2625,135,-1856,1856,2624.7803717644642,135.0,-1115,371,1175.1025487164939,161.59588851506547,26.595888515065468,0.447695571544735
20,2625,180,-2625,0,2625.0,180.0,-1051,-526,1175.2774140601869,-153.4131467769754,26.586853223024605,0.4477247291657855
21,2625,-135,-1856,-1856,2624.7803717644642,-135.0,-372,-1115,1175.4186488226228,-108.45036334488347,26.54963665511653,0.4478160007088393
22,2625,-90,0,-2625,2625.0,-90.0,525,-1051,1174.830200497076,-63.45675916808593,26.54324083191407,0.4475543620941242
23,2625,-45,1856,-1856,2624.7803717644642,-45.0,1114,-372,1174.4700932761123,-18.465802766904115,26.534197233095885,0.44745461597862934
24,3500,0,3500,0,3500.0,0.0,1400,700,1565.2475842498527,26.56505117707799,26.56505117707799,0.4472135954999579
25,3500,45,2475,2475,3500.17856687341,45.0,495,1485,1565.3274417833477,71.56505117707799,26.56505117707799,0.4472135954999579
26,3500,90,0,3500,3500.0,90.0,-701,1400,1565.6950533229642,116.59778226721245,26.59778226721245,0.4473414438065612
27,3500,135,-2475,2475,3500.17856687341,135.0,-1486,495,1566.2761570042494,161.57661907102803,26.576619071028034,0.4474846431630345
28,3500,180,-3500,0,3500.0,180.0,-1401,-701,1566.589288869294,-153.41859262025096,26.581407379749066,0.44759693967694114
29,3500,-135,-2475,-2475,3500.17856687341,-135.0,-496,-1486,1566.59248051304,-108.45807993975701,26.541920060242987,0.4475750166976263
30,3500,-90,0,-3500,3500.0,-90.0,700,-1401,1566.1420752920214,-63.45130969612469,26.54869030387531,0.44746916436914896
31,3500,-45,2475,-2475,3500.17856687341,-45.0,1485,-496,1565.6439569710606,-18.469666519852424,26.530333480147576,0.4473040237971621
32,4375,0,4375,0,4375.0,0.0,1750,875,1956.559480312316,26.56505117707799,26.56505117707799,0.4472135954999579
33,4375,45,3094,3094,4375.576761982356,45.0,619,1856,1956.501213902,71.55579050485977,26.55579050485977,0.4471413302358811
34,4375,90,0,4375,4375.0,90.0,-876,1750,1957.0068983015874,116.59123754614733,26.591237546147326,0.4473158624689343
35,4375,135,-3094,3094,4375.576761982356,135.0,-1857,619,1957.4498716442267,161.565051177078,26.565051177078004,0.4473581377092339
36,4375,180,-4375,0,4375.0,180.0,-1751,-876,1957.9011721739175,-153.421861619058,26.578138380941994,0.44752026792546684
37,4375,-135,-3094,-3094,4375.576761982356,-135.0,-620,-1857,1957.7663292640416,-108.46271288770727,26.53728711229273,0.4474304613449576
38,4375,-90,0,-4375,4375.0,-90.0,875,-1751,1957.4539585900866,-63.44803901677995,26.55196098322005,0.4474180476777341
39,4375,-45,3094,-3094,4375.576761982356,-45.0,1856,-620,1956.8178249392558,-18.471985520745385,26.528014479254615,0.4472136889338262
40,5250,0,5250,0,5250.0,0.0,2100,1050,2347.871376374779,26.56505117707799,26.56505117707799,0.4472135954999579
41,5250,45,3712,3712,5249.5607435289285,45.0,742,2227,2347.3587284435243,71.5727698594391,26.572769859439106,0.44715336065728656
42,5250,90,0,5250,5250.0,90.0,-1051,2100,2348.3187603049123,116.58687398292162,26.586873982921617,0.44729881148664996
43,5250,135,-3712,3712,5249.5607435289285,135.0,-2228,742,2348.3074756087626,161.5804823050413,26.5804823050413,0.44733408952425086
44,5250,180,-5250,0,5250.0,180.0,-2101,-1051,2349.2130597287255,-153.42404157395555,26.57595842604445,0.44746915423404293
45,5250,-135,-3712,-3712,5249.5607435289285,-135.0,-743,-2228,2348.6236394961197,-108.4426633481902,26.557336651809806,0.4473943162561249
