index,requested_amplitude,requested_phase_deg,input_i,input_q,input_magnitude,input_phase_deg,output_i,output_q,output_magnitude,output_phase_deg,phase_shift_deg,gain
209,23625,45,16705,16705,23624.43755944255,45.0,3341,10023,10565.169662622555,71.56505117707799,26.56505117707799,0.4472135954999579
210,23625,90,0,23625,23625.0,90.0,-4726,9450,10565.868445139757,116.56990140812653,26.569901408126526,0.4472325267784024
211,23625,135,-16705,16705,23624.43755944255,135.0,-10024,3341,10566.118350652712,161.56676595215046,26.56676595215046,0.4472537525630741
212,23625,180,-23625,0,23625.0,180.0,-9451,-4726,10566.762843936642,-153.43252391266813,26.567476087331897,0.4472703849285351
213,23625,-135,-16705,-16705,23624.43755944255,-135.0,-3342,-10024,10566.434592614483,-108.43837827042573,26.56162172957427,0.4472671387849037
214,23625,-90,0,-23625,23625.0,-90.0,4725,-9451,10566.315630341544,-63.43737383580891,26.562626164191087,0.4472514552525521
215,23625,-45,16705,-16705,23624.43755944255,-45.0,10023,-3342,10565.485932980082,-18.4400934560691,26.5599065439309,0.44722698292375296
216,24500,0,24500,0,24500.0,0.0,9800,4900,10956.73308974897,26.56505117707799,26.56505117707799,0.447213595499958
217,24500,45,17324,17324,24499.8357545515,45.0,3464,10395,10956.975905787143,71.57001199378583,26.570011993785826,0.44722650451856977
218,24500,90,0,24500,24500.0,90.0,-4901,9800,10957.180339850212,116.56972819265988,26.56972819265988,0.44723185060613113
219,24500,135,-17324,17324,24499.8357545515,135.0,-10396,3464,10957.924621021994,161.57166502669804,26.571665026698042,0.44726522784897715
220,24500,180,-24500,0,24500.0,180.0,-9801,-4901,10958.07473966116,-153.4326105060024,26.56738949399761,0.4472683567208637
221,24500,-135,-17324,-17324,24499.8357545515,-135.0,-3465,-10396,10958.24078034426,-108.43329540822495,26.56670459177505,0.44727813239762126
222,24500,-90,0,-24500,24500.0,-90.0,4900,-9801,10957.627526066033,-63.43728723527534,26.562712764724658,0.44725010310473606
223,24500,-45,17324,-17324,24499.8357545515,-45.0,10395,-3465,10957.292092483434,-18.43494882292201,26.56505117707799,0.44723941018452845
224,25375,0,25375,0,25375.0,0.0,10150,5075,11348.044985811433,26.56505117707799,26.56505117707799,0.447213595499958
225,25375,45,17943,17943,25375.233949660444,45.0,3588,10766,11348.149628904264,71.56824438777039,26.56824438777039,0.44721359619449413
226,25375,90,0,25375,25375.0,90.0,-5076,10150,11348.492234653906,116.56956692261664,26.569566922616644,0.44723122107010466
227,25375,135,-17943,17943,25375.233949660444,135.0,-10767,3588,11349.098334229024,161.56984059272455,26.569840592724546,0.447250983251758
228,25375,180,-25375,0,25375.0,180.0,-10151,-5076,11349.386635408982,-153.43269112808858,26.56730887191145,0.44726646839050177
229,25375,-135,-17943,-17943,25375.233949660444,-135.0,-3589,-10767,11349.414522344314,-108.43494882292202,26.565051177077976,0.4472634437522569
230,25375,-90,0,-25375,25375.0,-90.0,5075,-10151,11348.93942181383,-63.43720660672165,26.562793393278348,0.447248844209412
231,25375,-45,17943,-17943,25375.233949660444,-45.0,10766,-3589,11348.465843452144,-18.436545383779656,26.563454616220344,0.4472260577366619
232,26250,0,26250,0,26250.0,0.0,10500,5250,11739.356881873897,26.56505117707799,26.56505117707799,0.447213595499958
233,26250,45,18562,18562,26250.63214476939,45.0,3712,11137,11739.323362102265,71.56659458088424,26.566594580884242,0.44720154918026994
234,26250,90,0,26250,26250.0,90.0,-5251,10500,11739.804129541515,116.56941640350001,26.569416403500014,0.44723063350634346
235,26250,135,-18562,18562,26250.63214476939,135.0,-11138,3712,11740.272058176506,161.56813773525596,26.56813773525596,0.447237689112787
236,26250,180,-26250,0,26250.0,180.0,-10501,-5251,11740.698531177777,-153.4327663759832,26.567233624016808,0.4472647059496296
237,26250,-135,-18562,-18562,26250.63214476939,-135.0,-3713,-11138,11740.588273165873,-108.43649206044455,26.56350793955545,0.4472497351080081
238,26250,-90,0,-26250,26250.0,-90.0,5250,-10501,11740.2513175826,-63.43713135299535,26.56286864700465,0.44724766924124193
239,26250,-45,18562,-18562,26250.63214476939,-45.0,11137,-3713,11739.63960264539,-18.438035547383688,26.561964452616312,0.4472135961489441
240,27125,0,27125,0,27125.0,0.0,10850,5425,12130.668777936358,26.56505117707799,26.56505117707799,0.4472135954999579
241,27125,45,19180,19180,27124.616126315963,45.0,3836,11508,12130.497104405904,71.56505117707799,26.56505117707799,0.447213595499958
242,27125,90,0,27125,27125.0,90.0,-5426,10850,12131.116024504918,116.56927559493607,26.569275594936073,0.44723008385271584
243,27125,135,-19180,19180,27124.616126315963,135.0,-11509,3836,12131.445791825474,161.56654469373467,26.56654469373467,0.4472485706463398
244,27125,180,-27125,0,27125.0,180.0,-10851,-5426,12132.010426965517,-153.43283676971177,26.5671632302882,0.44726305721531856
245,27125,-135,-19180,-19180,27124.616126315963,-135.0,-3837,-11509,12131.762031955623,-108.43793577837303,26.56206422162697,0.4472602294336449
246,27125,-90,0,-27125,27125.0,-90.0,5425,-10851,12131.56321337032,-63.43706095399022,26.56293904600978,0.4472465700781685
247,27125,-45,19180,-19180,27124.616126315963,-45.0,11508,-3837,12130.813369267536,-18.43942960648315,26.56057039351685,0.4472252551990357
248,28000,0,28000,0,28000.0,0.0,11200,5600,12521.980673998822,26.56505117707799,26.56505117707799,0.4472135954999579
249,28000,45,19799,19799,28000.014321424907,45.0,3959,11880,12522.303342436646,71.56939187604036,26.569391876040356,0.44722489062639137
250,28000,90,0,28000,28000.0,90.0,-5601,11200,12522.427919537009,116.56914358659306,26.569143586593057,0.4472295685548932
251,28000,135,-19799,19799,28000.014321424907,135.0,-11881,3959,12523.252053679986,161.57083833725355,26.570838337253548,0.4472587731534661
252,28000,180,-28000,0,28000.0,180.0,-11201,-5601,12523.322322770424,-153.4329027643037,26.567097235696338,0.44726151152751514
253,28000,-135,-19799,-19799,28000.014321424907,-135.0,-3960,-11881,12523.568221557305,-108.43350206940583,26.566497930594167,0.4472700648575949
254,28000,-90,0,-28000,28000.0,-90.0,5600,-11201,12522.87510917521,-63.436994954608636,26.563005045391364,0.44724553961340036
255,28000,-45,19799,-19799,28000.014321424907,-45.0,11880,-3960,12522.619534266782,-18.43494882292201,26.56505117707799,0.4472361831859774
