index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,phase_shift_deg
47,5625,0,5625.0,2250,58,2250.747431410286,1.4766308591320512
48,5742,0,5742.0,2297,62,2297.836591230978,1.546136707590824
49,5859,0,5859.0,2344,66,2344.9289967928667,1.6128509266909479
50,5977,0,5977.0,2391,70,2392.024456396715,1.6769382192432747
51,6094,0,6094.0,2438,74,2439.12279313691,1.7385505942664556
52,6211,0,6211.0,2484,78,2485.2243359503786,1.7985518538653533
53,6328,0,6328.0,2531,83,2532.360558846232,1.878248156988008
54,6445,0,6445.0,2578,87,2579.4675807228127,1.9328323487883716
55,6562,0,6562.0,2625,92,2626.6116957022787,2.007259059856144
56,6680,0,6680.0,2672,97,2673.7600864699884,2.0790610459691465
57,6797,0,6797.0,2719,102,2720.9125307514023,2.148374532163645
58,6914,0,6914.0,2766,108,2768.1076568659682,2.236009558894272
59,7031,0,7031.0,2812,113,2814.2695322232375,2.3011882757092272
60,7148,0,7148.0,2859,119,2861.475493517287,2.3834433053079938
61,7266,0,7266.0,2906,125,2908.687160902664,2.463028288425112
62,7383,0,7383.0,2953,131,2955.9042609665153,2.540070862924168
63,7500,0,7500.0,3000,138,3003.172322728085,2.6337492335373884
64,7617,0,7617.0,3047,144,3050.4007933384755,2.705762384461522
65,7734,0,7734.0,3094,151,3097.682520853291,2.794054148865532
66,7852,0,7852.0,3141,158,3144.971383017658,2.8796909414047134
67,7969,0,7969.0,3188,165,3192.267062762763,2.9627903765111117
68,8086,0,8086.0,3234,172,3238.570672380024,3.0444025566962005
69,8203,0,8203.0,3281,180,3285.9338094368245,3.140174382247636
70,8320,0,8320.0,3328,188,3333.305866553503,3.233224294195457
71,8438,0,8438.0,3375,196,3380.686468751576,3.3236662346215184
72,8555,0,8555.0,3422,204,3428.075261717572,3.4116078988973575
73,8672,0,8672.0,3469,213,3475.5330526409903,3.5136059231086807
74,8789,0,8789.0,3516,221,3522.93868808414,3.5966243256385018
75,8906,0,8906.0,3562,230,3569.4178797109203,3.6944863514946813
76,9023,0,9023.0,3609,239,3616.905030547526,3.788785199188766
77,9141,0,9141.0,3656,249,3664.4695386917874,3.896239394887639
78,9258,0,9258.0,3703,259,3712.046605310876,4.000939483752771
79,9375,0,9375.0,3750,269,3759.6357536335886,4.102989336667555
80,9492,0,9492.0,3797,279,3807.23653060852,4.202487699101611
81,9609,0,9609.0,3844,289,3854.8485054538783,4.299528501388048
82,9727,0,9727.0,3891,300,3902.5480137981644,4.408839624009548
83,9844,0,9844.0,3938,311,3950.261383756776,4.515510490702129
84,9961,0,9961.0,3984,322,3996.991368517075,4.620789430286699
85,10078,0,10078.0,4031,334,4044.8135927382364,4.736585417764994
86,10195,0,10195.0,4078,345,4092.5675315136828,4.835724977502145
87,10312,0,10312.0,4125,357,4140.419543959283,4.946364238377988
88,10430,0,10430.0,4172,370,4188.3748638344205,5.068101467496721
89,10547,0,10547.0,4219,382,4236.258372668031,5.173612335982434
90,10664,0,10664.0,4266,395,4284.248008694174,5.290081205371269
91,10781,0,10781.0,4312,408,4331.259401144199,5.405215105484942
92,10898,0,10898.0,4359,422,4379.379522261116,5.529640513820747
93,11016,0,11016.0,4406,436,4427.519847499275,5.651360736414758
94,11133,0,11133.0,4453,450,4475.679724913301,5.770461982698573
95,11250,0,11250.0,4500,464,4523.858530060374,5.887026882391404
96,11367,0,11367.0,4547,479,4572.160320898645,6.0135974384819555
97,11484,0,11484.0,4594,494,4620.483957336071,6.137521095795219
98,11602,0,11602.0,4641,509,4668.828761049178,6.258878900864296
99,11719,0,11719.0,4688,525,4717.30526890088,6.389819372190468
100,11836,0,11836.0,4734,540,4764.698941171415,6.5075131128077555
101,11953,0,11953.0,4781,557,4813.3366805159185,6.645163418288588
102,12070,0,12070.0,4828,573,4861.883688448336,6.768356665067814
103,12188,0,12188.0,4875,590,4910.572777181905,6.900697065016412
104,12305,0,12305.0,4922,607,4959.287549638557,7.0304382028592425
105,12422,0,12422.0,4969,625,5008.151954563679,7.169005967147615
106,12539,0,12539.0,5016,643,5057.045085818397,7.304895078457774
107,12656,0,12656.0,5062,661,5104.974534706319,7.439633935795383
108,12773,0,12773.0,5109,679,5153.922971872979,7.57040067230973
109,12891,0,12891.0,5156,698,5203.031808474748,7.7096189961532575
110,13008,0,13008.0,5203,717,5252.170789302267,7.846233078211789
111,13125,0,13125.0,5250,737,5301.478001463365,7.991016652600447
112,13242,0,13242.0,5297,757,5350.818442070335,8.133130992461282
113,13359,0,13359.0,5344,777,5400.191200318744,8.27264753743757
114,13477,0,13477.0,5391,798,5449.74173700002,8.420035704105755
115,13594,0,13594.0,5438,819,5499.327686181285,8.564766895758376
116,13711,0,13711.0,5484,840,5547.95962494321,8.70847387495485
117,13828,0,13828.0,5531,862,5597.767858709398,8.858221449129898
118,13945,0,13945.0,5578,884,5647.61365534152,9.005326671454336
119,14062,0,14062.0,5625,906,5697.496028958686,9.149856979118683
120,14180,0,14180.0,5672,929,5747.575575840652,9.301715483796796
121,14297,0,14297.0,5719,953,5797.859087628812,9.46069757935015
122,14414,0,14414.0,5766,976,5848.019493811559,9.60728479526245
123,14531,0,14531.0,5812,1000,5897.40146166089,9.76259841036643
124,14648,0,14648.0,5859,1024,5947.8111099798725,9.913672735521846
125,14766,0,14766.0,5906,1049,5998.436212880821,10.071611627292322
126,14883,0,14883.0,5953,1075,6049.283759256132,10.236226772439469
127,15000,0,15000.0,6000,1100,6100.0,10.388857815469612
128,15117,0,15117.0,6047,1126,6150.941797806251,10.548128573682105
129,15234,0,15234.0,6094,1152,6201.93034465883,10.704781668817525
130,15352,0,15352.0,6141,1179,6253.152964705086,10.867877459266461
131,15469,0,15469.0,6188,1207,6304.616800409046,11.03724176956763
132,15586,0,15586.0,6234,1234,6354.959637952077,11.19676974346958
133,15703,0,15703.0,6281,1262,6406.528311027744,11.360796562225039
134,15820,0,15820.0,6328,1291,6458.348473100534,11.53089533344706
135,15938,0,15938.0,6375,1320,6510.224650501701,11.698284724968586
136,16055,0,16055.0,6422,1349,6562.155514767995,11.86302616860612
137,16172,0,16172.0,6469,1379,6614.348191621,12.0336516047798
138,16289,0,16289.0,6516,1409,6666.598607985935,12.201603908696377
139,16406,0,16406.0,6562,1439,6717.928624211484,12.368769216552103
140,16523,0,16523.0,6609,1470,6770.50817885925,12.539822421278632
141,16641,0,16641.0,6656,1502,6823.367203954364,12.716429130778943
142,16758,0,16758.0,6703,1534,6876.290060781323,12.890318990388831
143,16875,0,16875.0,6750,1566,6929.27528678144,13.061551083328114
144,16992,0,16992.0,6797,1599,6982.550393659898,13.2381706684169
145,17109,0,17109.0,6843,1632,7034.918123190916,13.414003053125418
146,17227,0,17227.0,6891,1666,7089.530097263147,13.591293741985288
147,17344,0,17344.0,6937,1701,7142.504462721742,13.777481307388511
148,17461,0,17461.0,6984,1735,7196.2824430396,13.951277930849619
149,17578,0,17578.0,7031,1770,7250.369714711106,14.130158323142217
150,17695,0,17695.0,7078,1806,7304.773781575991,14.31398828115228
151,17812,0,17812.0,7125,1842,7359.251932092011,14.49509841372372
152,17930,0,17930.0,7172,1879,7414.055907531316,14.681021042574079
153,18047,0,18047.0,7219,1916,7468.936805195235,14.864213300222591
154,18164,0,18164.0,7265,1953,7522.92722283022,15.04670817810386
155,18281,0,18281.0,7312,1991,7578.2204375433685,15.231909951558697
156,18398,0,18398.0,7359,2030,7633.857543863391,15.421662337419091
157,18516,0,18516.0,7406,2069,7689.577166528729,15.608666811381122
158,18633,0,18633.0,7453,2109,7745.649746793358,15.800096659820003
159,18750,0,18750.0,7500,2149,7801.807546972688,15.98877274602949
160,18867,0,18867.0,7547,2189,7858.048739986282,16.174750060845366
161,18984,0,18984.0,7593,2230,7913.6937646082815,16.36706835771261
162,19102,0,19102.0,7641,2272,7971.628754526894,16.559491991001256
163,19219,0,19219.0,7687,2314,8027.737227886822,16.753250405437136
164,19336,0,19336.0,7734,2357,8085.184289798223,16.949030556637666
165,19453,0,19453.0,7781,2400,8142.724421224139,17.142045994862112
166,19570,0,19570.0,7828,2443,8200.355663018525,17.33235058293377
167,19688,0,19688.0,7875,2488,8258.67840516871,17.533228563095154
168,19805,0,19805.0,7922,2532,8316.796739129795,17.724724948982633
169,19922,0,19922.0,7969,2577,8375.314322459784,17.92007084156693
170,20039,0,20039.0,8015,2623,8433.28844520333,18.121273247892024
171,20156,0,20156.0,8062,2669,8492.314466622158,18.31760518236029
172,20273,0,20273.0,8109,2716,8551.756369308003,18.51757774175094
173,20391,0,20391.0,8156,2764,8611.621914598898,18.721088703652452
174,20508,0,20508.0,8203,2812,8671.594605376798,18.921787207609107
175,20625,0,20625.0,8250,2860,8731.6722338851,19.119726329931154
176,20742,0,20742.0,8297,2909,8792.18346032429,19.321107840117524
177,20859,0,20859.0,8343,2958,8851.859296215682,19.521896657364007
178,20977,0,20977.0,8391,3009,8914.200020192502,19.72775740239499
179,21094,0,21094.0,8437,3060,8974.774036152665,19.935108697900294
180,21211,0,21211.0,8484,3111,9036.402879464815,20.137494027009755
181,21328,0,21328.0,8531,3162,9098.142942381153,20.33713504240732
182,21445,0,21445.0,8578,3215,9160.693696440243,20.545796706064337
183,21562,0,21562.0,8625,3268,9223.364299430008,20.75162545441919
184,21680,0,21680.0,8672,3322,9286.510001071447,20.960435123410434
185,21797,0,21797.0,8719,3376,9349.777377028824,21.16642158214443
186,21914,0,21914.0,8765,3430,9412.23273192923,21.371854622159827
187,22031,0,22031.0,8812,3486,9476.47297257793,21.583598550454763
188,22148,0,22148.0,8859,3541,9540.469694936408,21.786911848930906
189,22266,0,22266.0,8906,3598,9605.33393485099,21.998575485973127
190,22383,0,22383.0,8953,3655,9670.327502210046,22.2073967892567
191,22500,0,22500.0,9000,3713,9735.829137777635,22.418867660107512
192,22617,0,22617.0,9047,3771,9801.461625696445,22.627509241638265
193,22734,0,22734.0,9093,3830,9866.68885695703,22.840977870117058
194,22852,0,22852.0,9141,3890,9934.283114548327,23.052430059768625
195,22969,0,22969.0,9187,3950,10000.173448495781,23.265546776931306
196,23086,0,23086.0,9234,4011,10067.515929960082,23.478823535130342
197,23203,0,23203.0,9281,4072,10134.996053279941,23.689263128114874
198,23320,0,23320.0,9328,4134,10203.016220706502,23.902050411010848
199,23438,0,23438.0,9375,4197,10271.583811662153,24.117107855362384
200,23555,0,23555.0,9422,4260,10340.294193106887,24.329310179225686
201,23672,0,23672.0,9469,4324,10409.55988502876,24.54371517788703
202,23789,0,23789.0,9515,4388,10478.061318774575,24.757572557426965
203,23906,0,23906.0,9562,4453,10548.035504301262,24.971280270444684
204,24023,0,24023.0,9609,4519,10618.580036897589,25.187051350847423
205,24141,0,24141.0,9656,4586,10689.702147394006,25.40481322040974
206,24258,0,24258.0,9703,4653,10760.976628540739,25.619693502599205
207,24375,0,24375.0,9750,4721,10832.836239877348,25.83650367748345
208,24492,0,24492.0,9797,4789,10904.848921466084,26.050453370469533
209,24609,0,24609.0,9843,4858,10976.55742935826,26.268583647018776
210,24727,0,24727.0,9891,4928,11050.659030121235,26.483895736290332
211,24844,0,24844.0,9937,4999,11123.577212389906,26.705566416224222
212,24961,0,24961.0,9984,5069,11197.098597404598,26.917467152322327
213,25078,0,25078.0,10031,5141,11271.683192851013,27.135648535392995
214,25195,0,25195.0,10078,5213,11346.429085840178,27.350958417073752
215,25312,0,25312.0,10125,5286,11421.79587455493,27.567894145468426
216,25430,0,25430.0,10172,5361,11498.256606981773,27.79079990529437
217,25547,0,25547.0,10219,5435,11574.419467083435,28.00638708994858
218,25664,0,25664.0,10265,5510,11650.335832069391,28.225811470228287
219,25781,0,25781.0,10312,5586,11727.776430338361,28.444360544527324
220,25898,0,25898.0,10359,5662,11805.3854236107,28.660039224967438
221,26016,0,26016.0,10406,5740,11884.125377999006,28.881341485679048
222,26133,0,26133.0,10453,5818,11963.040290829083,29.099727301426388
223,26250,0,26250.0,10500,5896,12042.126722468918,29.315247724945284
224,26367,0,26367.0,10547,5975,12121.874195024464,29.53206552765796
225,26484,0,26484.0,10593,6055,12201.420982819993,29.75245309278992
226,26602,0,26602.0,10641,6136,12283.378077711359,29.969363011772785
227,26719,0,26719.0,10687,6218,12364.282955351677,30.192059910268863
228,26836,0,26836.0,10734,6300,12446.2346113192,30.409527750093286
229,26953,0,26953.0,10781,6383,12528.87265479221,30.62808274192997
230,27070,0,27070.0,10828,6466,12611.69060832052,30.843770441256154
231,27188,0,27188.0,10875,6551,12695.716836791848,31.064373105262774
232,27305,0,27305.0,10922,6636,12779.928794793812,31.282071686428935
233,27422,0,27422.0,10969,6722,12864.845315820941,31.500714495285038
234,27539,0,27539.0,11015,6808,12949.096068838164,31.71881289566712
235,27656,0,27656.0,11062,6895,13034.90962761154,31.93549386291745
236,27773,0,27773.0,11109,6983,13121.439326537315,32.153034522075025
237,27891,0,27891.0,11156,7072,13208.691078225731,32.37138555256011
238,28008,0,28008.0,11203,7162,13296.670748725035,32.59049842471411
239,28125,0,28125.0,11250,7252,13384.842322567718,32.806727647691524
240,28242,0,28242.0,11297,7343,13473.746991835642,33.02368928585955
241,28359,0,28359.0,11343,7434,13562.0059357014,33.240119123305625
242,28477,0,28477.0,11391,7528,13653.778414783214,33.459624023737845
243,28594,0,28594.0,11437,7621,13743.529750395275,33.677348748826205
244,28711,0,28711.0,11484,7715,13834.864690339404,33.89337353638468
245,28828,0,28828.0,11531,7809,13926.393718403915,34.10656174369446
246,28945,0,28945.0,11578,7905,14019.24067130599,34.32371415032174
247,29062,0,29062.0,11625,8001,14112.286349135635,34.53800612593033
248,29180,0,29180.0,11672,8099,14206.666920850928,34.75611541977026
249,29297,0,29297.0,11719,8197,14301.250644611471,34.97134279333427
250,29414,0,29414.0,11765,8295,14395.216219286183,35.18603242582512
251,29531,0,29531.0,11812,8395,14491.354974604687,35.40209012156988
252,29648,0,29648.0,11859,8495,14587.697076646471,35.6152969791368
253,29766,0,29766.0,11906,8597,14685.409255448076,35.83203001883048
254,29883,0,29883.0,11953,8699,14783.328786169914,36.04589495933524
255,30000,0,30000.0,12000,8801,14881.451575703226,36.25694251540468
